Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2014,53,Let's Be Cops,Fox,138.2,82.4,55.8,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=letsbecops.htm
2014,54,Jack Ryan: Shadow Recruit,Par.,135.5,50.6,84.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=jackryan.htm
2014,55,Annie (2014),Sony,133.8,85.9,47.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=annie2014.htm
2014,56,Blended,WB,128.0,46.3,81.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=blended.htm
2014,57,Sex Tape,Sony,126.1,38.5,87.5,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=sextape.htm
2014,58,The Theory of Everything,Focus,123.7,35.9,87.8,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=theoryofeverything.htm
2014,59,The Nut Job,ORF,120.9,64.3,56.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nutjob.htm
2014,60,The Wind Rises,BV,117.9,5.2,112.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=windrises.htm
2014,61,Pompeii,TriS,117.8,23.2,94.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=pompeii.htm
2014,62,The Admiral: Roaring Currents,CJ,112.2,2.6,109.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=admiral.htm
2014,63,The Purge: Anarchy,Uni.,111.9,72.0,40.0,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=purge2.htm
2014,64,The Boxtrolls,Focus,109.3,50.8,58.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=laika2014.htm
2014,65,Horrible Bosses 2,WB,107.7,54.4,53.2,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=horriblebosses2.htm
2014,66,Ouija,Uni.,103.6,50.9,52.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=ouija.htm
2014,67,Birdman,FoxS,103.2,42.3,60.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=birdman.htm
2014,68,Transcendence,WB,103.0,23.0,80.0,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=transcendence.htm
2014,69,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,101.4,67.0,34.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=alexanderbadday.htm
